"id","pseudo","email","mot_de_passe","role"
1,"Maverick","yoan.dalkia@gmail.com","P@ssw0rd",NULL
2,"Bob","bob.sponge@gmail.com",NULL,NULL
3,"Patrick","patrick.seastar@gmail.com",NULL,NULL
4,"Anne","anne.franck@gmail.com",NULL,NULL
5,"Steeve","steeve.mcqueen@gmail.com",NULL,NULL
6,"Yo","yo.yoan@gmail.com",NULL,NULL
7,"Alice","Alice.Wonderland@gmail.com",NULL,NULL
8,"John","john.doe@gmail.com",NULL,NULL
9,"Jane","jane.smith@gmail.com",NULL,NULL
10,"Max","max.power@gmail.com",NULL,NULL
11,"Lisa","lisa.simpson@gmail.com",NULL,NULL
12,"Bart","bart.simpson@gmail.com",NULL,NULL
13,"Homer","homer.simpson@gmail.com",NULL,NULL
14,"Marge","marge.simpson@gmail.com",NULL,NULL
15,"Nelson","nelson.muntz@gmail.com",NULL,NULL
16,"Milhouse","milhouse.vanhouten@gmail.com",NULL,NULL
17,"Ralph","ralph.wiggum@gmail.com",NULL,NULL
18,"Seymour","seymour.skinner@gmail.com",NULL,NULL
19,"Edna","edna.krabappel@gmail.com",NULL,NULL
20,"Apu","apu.nahasapeemapetilon@gmail.com",NULL,NULL
21,"yo","yoan.demenezes@gmail.com","$2y$10$9NVEDejr47op0KuGCjUPzemIWQilgYMt0dsHIA3FMDNN03Ob3EcnW",NULL
24,"YoanDM","test@gmail.com","$2y$10$g.i0VrrklOgyzXvalRXGH.4JhhfHkwGrJD2tOJ1nKRQD0MDqCttga",NULL
26,"Mav","mav@gmail.com","$2y$10$tA2rzlkyL.ujqWJjx7q79.UzkOW9bGlDTVHwR1EeVRt1XMzHmhvLi",NULL
27,"testtt","testtt@gmail.com","$2y$10$N2xf.D5Jvaf0vCzYzRV1ieLvS7FBEQYmgCftQXENEM1YivHm1PjEe",NULL
28,"admin","admin@example.com","$2y$10$H.p6F.P6p.P6p.P6p.P6p.P6p.P6p.P6p.P6p.P6p.P6p.P6p.P6","admin"
