"id","pseudo","email","mot_de_passe"
1,"Maverick","yoan.dalkia@gmail.com",NULL
2,"Bob","bob.sponge@gmail.com",NULL
3,"Patrick","patrick.seastar@gmail.com",NULL
4,"Anne","anne.franck@gmail.com",NULL
5,"Steeve","steeve.mcqueen@gmail.com",NULL
6,"Yo","yo.yoan@gmail.com",NULL
7,"Alice","Alice.Wonderland@gmail.com",NULL
8,"John","john.doe@gmail.com",NULL
9,"Jane","jane.smith@gmail.com",NULL
10,"Max","max.power@gmail.com",NULL
11,"Lisa","lisa.simpson@gmail.com",NULL
12,"Bart","bart.simpson@gmail.com",NULL
13,"Homer","homer.simpson@gmail.com",NULL
14,"Marge","marge.simpson@gmail.com",NULL
15,"Nelson","nelson.muntz@gmail.com",NULL
16,"Milhouse","milhouse.vanhouten@gmail.com",NULL
17,"Ralph","ralph.wiggum@gmail.com",NULL
18,"Seymour","seymour.skinner@gmail.com",NULL
19,"Edna","edna.krabappel@gmail.com",NULL
20,"Apu","apu.nahasapeemapetilon@gmail.com",NULL
21,"yo","yoan.demenezes@gmail.com","$2y$10$9NVEDejr47op0KuGCjUPzemIWQilgYMt0dsHIA3FMDNN03Ob3EcnW"
